Agency,City,State,Legacy NTD ID,NTD ID,Organization Type,NTD Reporter Type,Primary UZA Population,Agency VOMS,Mode,Type of Service,Mode VOMS,Mode VOMS Questionable,Max Trains in Operation,Max Trains in Operation Questionable,Average Speed (mi/hr),Average Speed (mi/hr) Questionable,Average Passenger Trip Length (mi),Average Passenger Trip Length (mi) Questionable,Passengers per Hour,Passengers per Hour Questionable,Scheduled Vehicle Revenue Miles,Scheduled Vehicle Revenue Miles Questionable,Vehicle Miles,Vehicle Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable,Deadhead Miles, Deadhead Miles Questionable ,Vehicle Hours, Vehicle Hours Questionable ,"Vehicle 
Revenue 
Hours", Vehicle Revenue Hours Questionable ,Deadhead Hours, Deadhead Hours Questionable ,Train Miles, Train Miles Questionable ,"Train 
Revenue
Miles", Train Revenue Miles Questionable ,Train Hours, Train Hours Questionable ,"Train 
Revenue 
Hours", Train Revenue Hours Questionable ,Unlinked Passenger Trips, Unlinked Passenger Trips Questionable ,Passenger Miles,Passenger Miles Questionable,Directional Route Miles
"City of Suffolk, dba: Suffolk Transit",Suffolk,VA,,30198,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 1,439,666 ",  7 ,MB,PT,6,,0,,  18.51 ,,  -   ,,  8.14 ,, 0 ,, 0 ,,251533,, 0 ,, 0 ,,13589,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,110659,, 0 ,,0.0
City of Winchester,Winchester,VA,3099,30099,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 69,449 ",  7 ,MB,DO,4,,0,,  11.63 ,,  -   ,,  9.46 ,, 0 ,, 0 ,,153564,, 0 ,, 0 ,,13205,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,124924,, 0 ,,0.0
"City of Suffolk, dba: Suffolk Transit",Suffolk,VA,,30198,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 1,439,666 ",  7 ,DR,PT,1,,0,,  6.80 ,,  -   ,,  1.21 ,, 0 ,, 0 ,,6986,, 0 ,, 0 ,,1028,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,1247,, 0 ,,0.0
"City of Bristol Virginia, dba: Bristol Virginia Transit",Bristol,VA,3053,30053,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 69,501 ",  4 ,MB,DO,3,,0,,  11.38 ,,  -   ,,  7.53 ,, 0 ,, 0 ,,81163,, 0 ,, 0 ,,7130,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,53664,, 0 ,,0.0
"City of Bristol Virginia, dba: Bristol Virginia Transit",Bristol,VA,3053,30053,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 69,501 ",  4 ,DR,DO,1,,0,,  4.11 ,,  -   ,,  0.89 ,, 0 ,, 0 ,,7312,, 0 ,, 0 ,,1780,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,1590,, 0 ,,0.0
Town of Bluefield/Graham Transit,Bluefield,VA,3R06-004,3R06-30164,"City, County or Local Government Unit or Department of Transportation",Rural Reporter, 0 ,  3 ,MB,DO,3,,0,,  16.64 ,,  -   ,,  5.42 ,, 0 ,, 0 ,,129996,, 0 ,, 0 ,,7814,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,42374,, 0 ,,0.0
Town of Chincoteague,Chincoteague Island,VA,3R06-012,3R06-30147,"City, County or Local Government Unit or Department of Transportation",Rural Reporter, 0 ,  3 ,MB,DO,3,,0,,  6.89 ,,  -   ,,  8.55 ,, 0 ,, 0 ,,11873,, 0 ,, 0 ,,1723,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,14728,, 0 ,,0.0
York County,Yorktown,VA,,30203,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 1,439,666 ",  3 ,MB,DO,3,,0,,  8.11 ,,  -   ,,  36.78 ,, 0 ,, 0 ,,18525,, 0 ,, 0 ,,2283,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,83961,, 0 ,,0.0
Town of Altavista,Altavista,VA,3R06-051,3R06-30157,"City, County or Local Government Unit or Department of Transportation",Rural Reporter, 0 ,  2 ,MB,DO,2,,0,,  15.89 ,,  -   ,,  6.48 ,, 0 ,, 0 ,,47993,, 0 ,, 0 ,,3021,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,19584,, 0 ,,0.0
Lake Area Bus,South Hill,VA,3R06-018,3R06-30142,Private-Non-Profit Corporation,Rural Reporter, 0 ,  2 ,DR,DO,2,,0,,  11.76 ,,  -   ,,  2.48 ,, 0 ,, 0 ,,60428,, 0 ,, 0 ,,5137,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,12739,, 0 ,,0.0
Greensville Emporia Transit System,Emporia,VA,,3R06-31025,"City, County or Local Government Unit or Department of Transportation",Rural Reporter, 0 ,  1 ,MB,DO,1,,0,,  14.26 ,,  -   ,,  1.48 ,, 0 ,, 0 ,,37909,, 0 ,, 0 ,,2658,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,3946,, 0 ,,0.0
Utah Transit Authority,Salt Lake City,UT,8001,80001,Independent Public Agency or Authority of Transit Service,Full Reporter," 1,021,243 ","  1,113 ",MB,DO,412,,0,,  13.55 ,,  4.17 ,,  15.48 ,," 16,634,865 ",," 18,662,648 ",,16634864,," 2,027,784 ",," 1,324,556 ",,1227254,," 97,302 ",, 0 ,, 0 ,, 0 ,, 0 ,,18996520,," 79,147,942 ",,"2,347.8"
Utah Transit Authority,Salt Lake City,UT,8001,80001,Independent Public Agency or Authority of Transit Service,Full Reporter," 1,021,243 ","  1,113 ",DR,DO,67,,0,,  15.52 ,,  10.66 ,,  2.17 ,, 0 ,," 2,063,922 ",,1759473,," 304,449 ",," 128,684 ",,113351,," 15,333 ",, 0 ,, 0 ,, 0 ,, 0 ,,246064,," 2,623,078 ",,0.0
Utah Transit Authority,Salt Lake City,UT,8001,80001,Independent Public Agency or Authority of Transit Service,Full Reporter," 1,021,243 ","  1,113 ",VP,DO,398,,0,,  37.63 ,,  36.65 ,,  6.96 ,, 0 ,," 6,354,828 ",,6354828,, 0 ,," 168,866 ",,168866,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,1174696,," 43,052,589 ",,0.0
Utah Transit Authority,Salt Lake City,UT,8001,80001,Independent Public Agency or Authority of Transit Service,Full Reporter," 1,021,243 ","  1,113 ",LR,DO,92,,30,,  18.37 ,,  4.98 ,,  49.41 ,," 6,551,000 ",," 6,760,231 ",,6655535,," 104,696 ",," 368,098 ",,362257,," 5,841 ",," 2,979,266 ",," 2,932,154 ",," 167,495 ",," 164,865 ",,17899716,," 89,112,550 ",,93.9
Utah Transit Authority,Salt Lake City,UT,8001,80001,Independent Public Agency or Authority of Transit Service,Full Reporter," 1,021,243 ","  1,113 ",CR,DO,50,,10,,  32.92 ,,  25.52 ,,  30.81 ,," 5,288,894 ",," 5,525,403 ",,5429232,," 96,171 ",," 169,307 ",,164930,," 4,377 ",," 1,381,351 ",," 1,357,308 ",," 42,327 ",," 41,233 ",,5082168,," 129,673,508 ",,174.5
Utah Transit Authority,Salt Lake City,UT,8001,80001,Independent Public Agency or Authority of Transit Service,Full Reporter," 1,021,243 ","  1,113 ",MB,PT,6,,0,,  13.31 ,,  3.03 ,,  4.10 ,," 210,977 ",," 235,452 ",,210359,," 25,093 ",," 16,754 ",,15804,, 950 ,, 0 ,, 0 ,, 0 ,, 0 ,,64852,," 196,496 ",,69.0
Utah Transit Authority,Salt Lake City,UT,8001,80001,Independent Public Agency or Authority of Transit Service,Full Reporter," 1,021,243 ","  1,113 ",DR,PT,45,,0,,  15.52 ,,  13.07 ,,  2.22 ,, 0 ,," 1,312,850 ",,1039455,," 273,395 ",," 77,061 ",,66991,," 10,070 ",, 0 ,, 0 ,, 0 ,, 0 ,,148752,," 1,944,598 ",,0.0
Utah Transit Authority,Salt Lake City,UT,8001,80001,Independent Public Agency or Authority of Transit Service,Full Reporter," 1,021,243 ","  1,113 ",CB,DO,43,,0,,  25.92 ,,  22.00 ,,  13.70 ,," 1,066,184 ",," 1,349,517 ",,1066181,," 283,336 ",," 58,522 ",,41128,," 17,394 ",, 0 ,, 0 ,, 0 ,, 0 ,,563563,," 12,395,920 ",,809.0
Park City Municipal Corporation,Park City,UT,8R06-001,8R06-80284,"City, County or Local Government Unit or Department of Transportation",Rural Reporter, 0 ,  39 ,DR,DO,6,,0,,  12.80 ,,  -   ,,  2.51 ,, 0 ,, 0 ,,90126,, 0 ,, 0 ,,7043,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,17658,, 0 ,,0.0
Park City Municipal Corporation,Park City,UT,8R06-001,8R06-80284,"City, County or Local Government Unit or Department of Transportation",Rural Reporter, 0 ,  39 ,MB,DO,33,,0,,  17.32 ,,  -   ,,  20.79 ,, 0 ,, 0 ,,1928053,, 0 ,, 0 ,,111296,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,2313740,, 0 ,,0.0
Cache Valley Transit District,Logan,UT,8028,80028,Independent Public Agency or Authority of Transit Service,Full Reporter," 94,983 ",  22 ,MB,DO,17,,0,,  15.41 ,,  3.22 ,,  28.35 ,," 819,985 ",," 839,675 ",,819159,," 20,516 ",," 54,339 ",,53152,," 1,187 ",, 0 ,, 0 ,, 0 ,, 0 ,,1507093,," 4,858,236 ",,166.7
Cache Valley Transit District,Logan,UT,8028,80028,Independent Public Agency or Authority of Transit Service,Full Reporter," 94,983 ",  22 ,DR,DO,5,,0,,  11.50 ,,  4.93 ,,  2.33 ,, 0 ,," 146,879 ",,128614,," 18,265 ",," 12,409 ",,11183,," 1,226 ",, 0 ,, 0 ,, 0 ,, 0 ,,26092,," 128,613 ",,0.0
City of St. George,St. George,UT,8026,80026,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 98,370 ",  10 ,DR,DO,4,,0,,  10.32 ,,  -   ,,  1.72 ,, 0 ,, 0 ,,66904,, 0 ,, 0 ,,6480,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,11160,, 0 ,,0.0
City of St. George,St. George,UT,8026,80026,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 98,370 ",  10 ,MB,DO,6,,0,,  15.23 ,,  -   ,,  18.28 ,, 0 ,, 0 ,,349556,, 0 ,, 0 ,,22956,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,419727,, 0 ,,0.0
Basin Transit Association ,Roosevelt,UT,8R06-005,8R06-80260,"City, County or Local Government Unit or Department of Transportation",Rural Reporter, 0 ,  7 ,MB,DO,4,,0,,  25.86 ,,  -   ,,  4.09 ,, 0 ,, 0 ,,259614,, 0 ,, 0 ,,10038,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,41044,, 0 ,,0.0
Basin Transit Association ,Roosevelt,UT,8R06-005,8R06-80260,"City, County or Local Government Unit or Department of Transportation",Rural Reporter, 0 ,  7 ,DR,DO,3,,0,,  18.86 ,,  -   ,,  1.49 ,, 0 ,, 0 ,,51742,, 0 ,, 0 ,,2743,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,4076,, 0 ,,0.0
Ute Tribe,Fort Duchesne,UT,8T19,88200,Tribe,Reduced Reporter, 0 ,  3 ,MB,DO,3,,0,,  28.44 ,,  -   ,,  2.31 ,, 0 ,, 0 ,,56454,, 0 ,, 0 ,,1985,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,4593,, 0 ,,0.0
Cedar Area Transportation Service,Cedar City ,UT,8R06-004,8R06-80248,"City, County or Local Government Unit or Department of Transportation",Rural Reporter, 0 ,  2 ,MB,DO,1,,0,,  15.31 ,,  -   ,,  4.57 ,, 0 ,, 0 ,,46336,, 0 ,, 0 ,,3026,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,13838,, 0 ,,0.0
Cedar Area Transportation Service,Cedar City ,UT,8R06-004,8R06-80248,"City, County or Local Government Unit or Department of Transportation",Rural Reporter, 0 ,  2 ,DR,DO,1,,0,,  11.73 ,,  -   ,,  2.48 ,, 0 ,, 0 ,,34689,, 0 ,, 0 ,,2957,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,7328,, 0 ,,0.0
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter," 4,944,332 ","  2,659 ",VP,DO,562,,0,,  37.35 ,,  31.07 ,,  8.42 ,, 0 ,," 4,926,881 ",,4926881,, 0 ,," 131,902 ",,131902,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,1110373,," 34,502,571 ",,0.0
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter," 4,944,332 ","  2,659 ",LR,DO,54,,33,,  11.78 ,,  2.83 ,,  63.24 ,," 3,507,005 ",," 3,549,684 ",,3535806,," 13,878 ",," 302,461 ",,300133,," 2,328 ",," 2,187,822 ",," 2,173,944 ",," 202,205 ",," 199,878 ",,18980255,," 53,624,968 ",,43.6
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter," 4,944,332 ","  2,659 ",CB,PT,64,,0,,  28.10 ,,  18.82 ,,  23.08 ,," 2,175,997 ",," 2,997,843 ",,2194786,," 803,057 ",," 105,349 ",,78109,," 27,240 ",, 0 ,, 0 ,, 0 ,, 0 ,,1802379,," 33,923,059 ",,283.9
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter," 4,944,332 ","  2,659 ",MB,PT,101,,0,,  12.06 ,,  4.37 ,,  19.34 ,," 5,875,994 ",," 6,718,455 ",,5850057,," 868,398 ",," 519,311 ",,485050,," 34,261 ",, 0 ,, 0 ,, 0 ,, 0 ,,9379412,," 40,980,999 ",,"1,171.0"
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter," 4,944,332 ","  2,659 ",DT,PT,135,,0,,  29.88 ,,  10.53 ,,  3.40 ,, 0 ,, 0 ,,2188481,, 0 ,, 0 ,,73234,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,248709,," 2,619,565 ",,0.0
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter," 4,944,332 ","  2,659 ",VP,PT,570,,0,,  37.09 ,,  30.81 ,,  8.15 ,, 0 ,," 3,492,035 ",,3492035,, 0 ,," 94,141 ",,94141,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,766954,," 23,629,031 ",,0.0
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter," 4,944,332 ","  2,659 ",MB,DO,598,,0,,  12.17 ,,  4.76 ,,  20.89 ,," 29,395,451 ",," 33,371,465 ",,29226868,," 4,144,597 ",," 2,567,556 ",,2401525,," 166,031 ",, 0 ,, 0 ,, 0 ,, 0 ,,50175599,," 238,829,128 ",,"2,404.1"
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter," 4,944,332 ","  2,659 ",DR,PT,327,,0,,  15.67 ,,  10.71 ,,  1.62 ,, 0 ,," 21,258,021 ",,17168294,," 4,089,727 ",," 1,271,046 ",,1095704,," 175,342 ",, 0 ,, 0 ,, 0 ,, 0 ,,1774466,," 19,003,294 ",,0.0
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter," 4,944,332 ","  2,659 ",CB,DO,248,,0,,  24.95 ,,  19.09 ,,  22.33 ,," 6,701,994 ",," 8,904,906 ",,6771331,," 2,133,575 ",," 353,424 ",,271439,," 81,985 ",, 0 ,, 0 ,, 0 ,, 0 ,,6062400,," 115,745,334 ",,623.4
Dallas Area Rapid Transit,Dallas,TX,6056,60056,Independent Public Agency or Authority of Transit Service,Full Reporter," 5,121,892 ","  1,062 ",SR,DO,2,,2,,  6.90 ,,  1.50 ,,  10.97 ,," 94,287 ",," 95,011 ",,93551,," 1,460 ",," 13,732 ",,13561,, 171 ,," 95,011 ",," 93,551 ",," 13,732 ",," 13,561 ",,148828,," 223,374 ",,4.7
Dallas Area Rapid Transit,Dallas,TX,6056,60056,Independent Public Agency or Authority of Transit Service,Full Reporter," 5,121,892 ","  1,062 ",LR,DO,109,,51,,  22.33 ,,  8.05 ,,  62.99 ,," 10,328,787 ",," 10,314,848 ",,10236821,," 78,027 ",," 464,707 ",,458345,," 6,362 ",," 5,612,632 ",," 5,568,402 ",," 253,570 ",," 249,897 ",,28873235,," 232,288,823 ",,182.4
Dallas Area Rapid Transit,Dallas,TX,6056,60056,Independent Public Agency or Authority of Transit Service,Full Reporter," 5,121,892 ","  1,062 ",CR,PT,23,,6,,  22.06 ,,  19.46 ,,  27.65 ,," 1,613,438 ",," 1,655,479 ",,1627050,," 28,429 ",," 75,210 ",,73746,," 1,464 ",," 591,079 ",," 581,062 ",," 26,576 ",," 26,058 ",,2038947,," 39,672,828 ",,72.3
Dallas Area Rapid Transit,Dallas,TX,6056,60056,Independent Public Agency or Authority of Transit Service,Full Reporter," 5,121,892 ","  1,062 ",DT,PT,115,,0,,  17.32 ,,  13.45 ,,  1.56 ,, 0 ,, 0 ,,5850754,, 0 ,, 0 ,,337873,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,526891,," 7,084,735 ",,0.0
Dallas Area Rapid Transit,Dallas,TX,6056,60056,Independent Public Agency or Authority of Transit Service,Full Reporter," 5,121,892 ","  1,062 ",VP,PT,174,,0,,  38.11 ,,  38.43 ,,  6.07 ,, 0 ,," 3,031,554 ",,3031554,, 0 ,," 79,552 ",,79552,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,483243,," 18,572,868 ",,0.0
Dallas Area Rapid Transit,Dallas,TX,6056,60056,Independent Public Agency or Authority of Transit Service,Full Reporter," 5,121,892 ","  1,062 ",MB,DO,537,,0,,  12.67 ,,  4.17 ,,  13.50 ,," 28,242,935 ",," 32,351,846 ",,28168716,," 4,183,130 ",," 2,390,905 ",,2222726,," 168,179 ",, 0 ,, 0 ,, 0 ,, 0 ,,30011020,," 125,148,127 ",,"1,544.0"
Dallas Area Rapid Transit,Dallas,TX,6056,60056,Independent Public Agency or Authority of Transit Service,Full Reporter," 5,121,892 ","  1,062 ",DR,PT,102,,0,,  12.33 ,,  11.03 ,,  1.83 ,, 0 ,," 3,698,651 ",,2407024,," 1,291,627 ",," 235,680 ",,195261,," 40,419 ",, 0 ,, 0 ,, 0 ,, 0 ,,356620,," 3,932,331 ",,0.0
VIA Metropolitan Transit,San Antonio,TX,6011,60011,Independent Public Agency or Authority of Transit Service,Full Reporter," 1,758,210 ",  824 ,DT,PT,2,,0,,  11.77 ,,  7.34 ,,  1.61 ,, 0 ,, 0 ,,45915,, 0 ,, 0 ,,3900,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,6266,," 46,013 ",,0.0
VIA Metropolitan Transit,San Antonio,TX,6011,60011,Independent Public Agency or Authority of Transit Service,Full Reporter," 1,758,210 ",  824 ,VP,PT,220,,0,,  46.98 ,,  49.20 ,,  5.15 ,, 0 ,," 4,763,771 ",,4763771,, 0 ,," 101,398 ",,101398,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,522277,," 25,693,681 ",,0.0
VIA Metropolitan Transit,San Antonio,TX,6011,60011,Independent Public Agency or Authority of Transit Service,Full Reporter," 1,758,210 ",  824 ,DR,PT,110,,0,,  18.98 ,,  12.74 ,,  1.84 ,, 0 ,," 6,694,458 ",,5664164,," 1,030,294 ",," 351,076 ",,298451,," 52,625 ",, 0 ,, 0 ,, 0 ,, 0 ,,549777,," 7,003,796 ",,0.0
VIA Metropolitan Transit,San Antonio,TX,6011,60011,Independent Public Agency or Authority of Transit Service,Full Reporter," 1,758,210 ",  824 ,MB,DO,387,,0,,  13.35 ,,  3.77 ,,  22.40 ,," 22,905,498 ",," 25,268,111 ",,22837350,," 2,430,761 ",," 1,813,950 ",,1710236,," 103,714 ",, 0 ,, 0 ,, 0 ,, 0 ,,38312659,," 144,597,977 ",,"2,422.0"
VIA Metropolitan Transit,San Antonio,TX,6011,60011,Independent Public Agency or Authority of Transit Service,Full Reporter," 1,758,210 ",  824 ,DR,DO,105,,0,,  17.28 ,,  11.53 ,,  2.19 ,, 0 ,," 4,900,387 ",,4101591,," 798,796 ",," 280,663 ",,237331,," 43,332 ",, 0 ,, 0 ,, 0 ,, 0 ,,519824,," 5,996,008 ",,0.0
"Capital Metropolitan Transportation Authority, dba: Capital Metro",Austin,TX,6048,60048,Independent Public Agency or Authority of Transit Service,Full Reporter," 1,362,416 ",  758 ,VP,PT,250,,0,,  37.27 ,,  38.28 ,,  4.39 ,, 0 ,," 4,339,303 ",,4339303,, 0 ,," 116,427 ",,116427,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,511337,," 19,572,510 ",,0.0
"Capital Metropolitan Transportation Authority, dba: Capital Metro",Austin,TX,6048,60048,Independent Public Agency or Authority of Transit Service,Full Reporter," 1,362,416 ",  758 ,CB,PT,35,,0,,  19.55 ,,  16.92 ,,  12.93 ,," 929,600 ",," 1,463,526 ",,928475,," 535,051 ",," 67,331 ",,47486,," 19,845 ",, 0 ,, 0 ,, 0 ,, 0 ,,613852,," 10,387,840 ",,211.2
"Capital Metropolitan Transportation Authority, dba: Capital Metro",Austin,TX,6048,60048,Independent Public Agency or Authority of Transit Service,Full Reporter," 1,362,416 ",  758 ,MB,PT,312,,0,,  11.61 ,,  4.32 ,,  20.27 ,," 15,432,872 ",," 17,153,601 ",,15396804,," 1,756,797 ",," 1,411,320 ",,1325923,," 85,397 ",, 0 ,, 0 ,, 0 ,, 0 ,,26879274,," 116,078,145 ",,993.6
"Capital Metropolitan Transportation Authority, dba: Capital Metro",Austin,TX,6048,60048,Independent Public Agency or Authority of Transit Service,Full Reporter," 1,362,416 ",  758 ,YR,PT,7,,6,,  23.58 ,,  15.12 ,,  61.66 ,," 310,465 ",," 384,894 ",,310272,," 74,622 ",," 20,037 ",,13157,," 6,880 ",," 384,894 ",," 310,272 ",," 20,037 ",," 13,157 ",,811242,," 12,269,528 ",,64.2
"Capital Metropolitan Transportation Authority, dba: Capital Metro",Austin,TX,6048,60048,Independent Public Agency or Authority of Transit Service,Full Reporter," 1,362,416 ",  758 ,DR,PT,154,,0,,  14.34 ,,  8.28 ,,  1.78 ,, 0 ,," 6,581,731 ",,5453261,," 1,128,470 ",," 461,494 ",,380407,," 81,087 ",, 0 ,, 0 ,, 0 ,, 0 ,,675564,," 5,591,419 ",,0.0
"Fort Worth Transportation Authority, dba: Trinity Metro",Fort Worth,TX,6007,60007,Independent Public Agency or Authority of Transit Service,Full Reporter," 5,121,892 ",  292 ,VP,PT,84,,0,,  40.71 ,,  42.10 ,,  5.24 ,, 0 ,," 1,634,415 ",,1634415,, 0 ,," 40,148 ",,40148,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,210232,," 8,850,570 ",,0.0
"Fort Worth Transportation Authority, dba: Trinity Metro",Fort Worth,TX,6007,60007,Independent Public Agency or Authority of Transit Service,Full Reporter," 5,121,892 ",  292 ,DR,PT,47,,0,,  15.53 ,,  9.35 ,,  1.93 ,, 0 ,," 2,172,652 ",,1845126,," 327,526 ",," 137,976 ",,118791,," 19,185 ",, 0 ,, 0 ,, 0 ,, 0 ,,229381,," 2,145,208 ",,0.0
"Fort Worth Transportation Authority, dba: Trinity Metro",Fort Worth,TX,6007,60007,Independent Public Agency or Authority of Transit Service,Full Reporter," 5,121,892 ",  292 ,MB,PT,4,,0,,  7.49 ,,  3.07 ,,  10.69 ,," 45,852 ",," 78,923 ",,45852,," 33,071 ",," 7,694 ",,6124,," 1,570 ",, 0 ,, 0 ,, 0 ,, 0 ,,65484,," 200,814 ",,19.5
"Fort Worth Transportation Authority, dba: Trinity Metro",Fort Worth,TX,6007,60007,Independent Public Agency or Authority of Transit Service,Full Reporter," 5,121,892 ",  292 ,DR,DO,35,,0,,  16.34 ,,  10.90 ,,  1.79 ,, 0 ,," 1,432,131 ",,1238825,," 193,306 ",," 86,679 ",,75836,," 10,843 ",, 0 ,, 0 ,, 0 ,, 0 ,,135603,," 1,478,431 ",,0.0
"Fort Worth Transportation Authority, dba: Trinity Metro",Fort Worth,TX,6007,60007,Independent Public Agency or Authority of Transit Service,Full Reporter," 5,121,892 ",  292 ,MB,DO,122,,0,,  13.24 ,,  3.50 ,,  13.47 ,," 5,100,354 ",," 5,670,056 ", W ,5074751,," 595,305 ",," 455,542 ",,383270,," 72,272 ",, 0 ,, 0 ,, 0 ,, 0 ,,5163338,," 18,053,520 ",,898.3
"City of El Paso, dba: Sun Metro",El Paso,TX,6006,60006,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 803,086 ",  193 ,DR,PT,58,,0,,  17.33 ,,  9.37 ,,  2.05 ,, 0 ,," 3,157,436 ",,2740509,," 416,927 ",," 179,190 ",,158167,," 21,023 ",, 0 ,, 0 ,, 0 ,, 0 ,,323674,," 3,033,504 ",,0.0
"City of El Paso, dba: Sun Metro",El Paso,TX,6006,60006,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 803,086 ",  193 ,MB,DO,135,,0,,  13.16 ,,  5.85 ,,  23.19 ,," 7,266,685 ",," 8,078,258 ",,7261811,," 816,447 ",," 599,713 ",,551733,," 47,980 ",, 0 ,, 0 ,, 0 ,, 0 ,,12792258,," 74,781,311 ",,717.7
"Southeast Missouri Transportation, Inc.",Fredericktown,TX,7R03-029,7R03-70091,Private-Non-Profit Corporation,Rural Reporter, 0 ,  167 ,DR,DO,167,,0,,  18.34 ,,  -   ,,  1.59 ,, 0 ,, 0 ,,3628970,, 0 ,, 0 ,,197857,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,314096,, 0 ,,0.0
Corpus Christi Regional Transportation Authority,Corpus Christi,TX,6051,60051,Independent Public Agency or Authority of Transit Service,Full Reporter," 320,069 ",  112 ,MB,DO,58,,0,,  13.36 ,,  4.40 ,,  20.74 ,," 2,994,808 ",," 3,420,614 ",,3050645,," 369,969 ",," 239,456 ",,228304,," 11,152 ",, 0 ,, 0 ,, 0 ,, 0 ,,4734261,," 20,830,748 ",,449.0
Corpus Christi Regional Transportation Authority,Corpus Christi,TX,6051,60051,Independent Public Agency or Authority of Transit Service,Full Reporter," 320,069 ",  112 ,VP,PT,10,,0,,  42.86 ,,  32.00 ,,  8.27 ,, 0 ,," 82,942 ",,82942,, 0 ,," 1,935 ",,1935,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,16002,," 512,064 ",,0.0
Corpus Christi Regional Transportation Authority,Corpus Christi,TX,6051,60051,Independent Public Agency or Authority of Transit Service,Full Reporter," 320,069 ",  112 ,DR,PT,27,,0,,  17.10 ,,  7.71 ,,  2.57 ,, 0 ,," 1,507,364 ",,1303402,," 203,962 ",," 84,133 ",,76225,," 7,908 ",, 0 ,, 0 ,, 0 ,, 0 ,,195952,," 1,510,790 ",,0.0
Corpus Christi Regional Transportation Authority,Corpus Christi,TX,6051,60051,Independent Public Agency or Authority of Transit Service,Full Reporter," 320,069 ",  112 ,MB,PT,16,,0,,  14.20 ,,  4.11 ,,  8.87 ,," 649,098 ",," 791,182 ",,670604,," 120,578 ",," 52,477 ",,47228,," 5,249 ",, 0 ,, 0 ,, 0 ,, 0 ,,418744,," 1,721,038 ",,124.5
